Country,X,Y,Z,population,land_area,density
Eritrea,3535603,101000,35,3535603,101000,35
Estonia,1360546,42390,32,1360546,42390,32
"Eswatini (fmr. ""Swaziland"")",1242822,17200,72,1242822,17200,72
Ethiopia,132059767,1000000,132,132059767,1000000,132
Fiji,928784,18270,51,928784,18270,51
Finland,5617310,303890,18,5617310,303890,18
France,66548530,547557,122,66548530,547557,122
Gabon,2538952,257670,10,2538952,257670,10
Gambia,2759988,10120,273,2759988,10120,273
Georgia,3807670,69490,55,3807670,69490,55
Germany,84552242,348560,243,84552242,348560,243
Ghana,34427414,227540,151,34427414,227540,151
Greece,10047817,128900,78,10047817,128900,78
Grenada,117207,340,345,117207,340,345
Guatemala,18406359,107160,172,18406359,107160,172
Guinea,14754785,245720,60,14754785,245720,60
Guinea-Bissau,2201352,28120,78,2201352,28120,78
Guyana,831087,196850,4,831087,196850,4
Haiti,11772557,27560,427,11772557,27560,427
Holy See,496,0,1240,496,0,1240
Honduras,10825703,111890,97,10825703,111890,97
Hungary,9676135,90530,107,9676135,90530,107
Iceland,393396,100250,4,393396,100250,4
India,1450935791,2973190,488,1450935791,2973190,488
Indonesia,283487931,1811570,156,283487931,1811570,156
Iran,91567738,1628550,56,91567738,1628550,56
Iraq,46042015,434320,106,46042015,434320,106
Ireland,5255017,68890,76,5255017,68890,76
Israel,9387021,21640,434,9387021,21640,434
Italy,59342867,294140,202,59342867,294140,202
Jamaica,2839175,10830,262,2839175,10830,262
Japan,123753041,364555,339,123753041,364555,339
Jordan,11552876,88780,130,11552876,88780,130
Kazakhstan,20592571,2699700,8,20592571,2699700,8
Kenya,56432944,569140,99,56432944,569140,99
Kiribati,134518,810,166,134518,810,166
Kuwait,4934507,17820,277,4934507,17820,277
Kyrgyzstan,7186009,191800,37,7186009,191800,37
Laos,7769819,230800,34,7769819,230800,34
Latvia,1871871,62200,30,1871871,62200,30
Lebanon,5805962,10230,568,5805962,10230,568
Lesotho,2337423,30360,77,2337423,30360,77
Liberia,5612817,96320,58,5612817,96320,58
Libya,7381023,1759540,4,7381023,1759540,4
Liechtenstein,39870,160,249,39870,160,249
Lithuania,2859110,62674,46,2859110,62674,46
Luxembourg,673036,2590,260,673036,2590,260
Madagascar,31964956,581795,55,31964956,581795,55
Malawi,21655286,94280,230,21655286,94280,230
Malaysia,35557673,328550,108,35557673,328550,108
Maldives,527799,300,1759,527799,300,1759
Mali,24478595,1220190,20,24478595,1220190,20
Malta,539607,320,1686,539607,320,1686
Marshall Islands,37548,180,209,37548,180,209
Mauritania,5169395,1030700,5,5169395,1030700,5
Mauritius,1271169,2030,626,1271169,2030,626
Mexico,130861007,1943950,67,130861007,1943950,67
Micronesia,526923,700,753,526923,700,753
Moldova,3034961,32850,92,3034961,32850,92
Monaco,38631,1,25927,38631,1,25927
Mongolia,3475540,1553560,2,3475540,1553560,2
Montenegro,638479,13450,47,638479,13450,47
Morocco,38081173,446300,85,38081173,446300,85
Mozambique,34631766,786380,44,34631766,786380,44
Myanmar (formerly Burma),54500091,653290,83,54500091,653290,83
Namibia,3030131,823290,4,3030131,823290,4
Nauru,11947,20,597,11947,20,597
Nepal,29651054,143350,207,29651054,143350,207
Netherlands,18228742,33720,541,18228742,33720,541
New Zealand,5213944,263310,20,5213944,263310,20
Nicaragua,6916140,120340,57,6916140,120340,57
Niger,27032412,1266700,21,27032412,1266700,21
Nigeria,232679478,910770,255,232679478,910770,255
North Korea,26498823,120410,220,26498823,120410,220
North Macedonia,1823009,25220,72,1823009,25220,72
Norway,5576660,365268,15,5576660,365268,15
Oman,5281538,309500,17,5281538,309500,17
Pakistan,251269164,770880,326,251269164,770880,326
Palau,17695,460,38,17695,460,38
Palestine State,5495443,6020,913,5495443,6020,913
Panama,4515577,74340,61,4515577,74340,61
Papua New Guinea,10576502,452860,23,10576502,452860,23
Paraguay,6929153,397300,17,6929153,397300,17
Peru,34217848,1280000,27,34217848,1280000,27
Philippines,115843670,298170,389,115843670,298170,389
Poland,38539201,306230,126,38539201,306230,126
Portugal,10425292,91590,114,10425292,91590,114
Qatar,3048423,11610,263,3048423,11610,263
Romania,19015088,230170,83,19015088,230170,83
Russia,144820423,16376870,9,144820423,16376870,9
Rwanda,14256567,24670,578,14256567,24670,578
Saint Kitts and Nevis,46843,260,180,46843,260,180
Saint Lucia,179744,610,295,179744,610,295
Saint Vincent and the Grenadines,100616,390,258,100616,390,258
Samoa,218019,2830,77,218019,2830,77
San Marino,33581,60,560,33581,60,560
Sao Tome and Principe,235536,960,245,235536,960,245
Saudi Arabia,33962757,2149690,16,33962757,2149690,16
Senegal,18501984,192530,96,18501984,192530,96
Serbia,6736216,87460,77,6736216,87460,77
Seychelles,130418,460,284,130418,460,284
Sierra Leone,8642022,72180,120,8642022,72180,120
Singapore,5832387,700,8332,5832387,700,8332
Slovakia,5506760,48088,115,5506760,48088,115
Slovenia,2118697,20140,105,2118697,20140,105
Solomon Islands,819198,27990,29,819198,27990,29
Somalia,19009151,627340,30,19009151,627340,30
South Africa,64007187,1213090,53,64007187,1213090,53
South Korea,51717590,97230,532,51717590,97230,532
South Sudan,11943408,610952,20,11943408,610952,20
Spain,47910526,498800,96,47910526,498800,96
Sri Lanka,23103565,62710,368,23103565,62710,368
Sudan,50448963,1765048,29,50448963,1765048,29
Suriname,634431,156000,4,634431,156000,4
Sweden,10606999,410340,26,10606999,410340,26
Switzerland,8921981,39516,226,8921981,39516,226
Syria,24672760,183630,134,24672760,183630,134
Tajikistan,10590927,139960,76,10590927,139960,76
Tanzania,68560157,885800,77,68560157,885800,77
Thailand,71668011,510890,140,71668011,510890,140
Timor-Leste,1400638,14870,94,1400638,14870,94
Togo,9515236,54390,175,9515236,54390,175
Tonga,104175,720,145,104175,720,145
Trinidad and Tobago,1507782,5130,294,1507782,5130,294
Tunisia,12277109,155360,79,12277109,155360,79
Turkey,87473805,769630,114,87473805,769630,114
Turkmenistan,7494498,469930,16,7494498,469930,16
Tuvalu,9646,30,322,9646,30,322
Uganda,50015092,199810,250,50015092,199810,250
Ukraine,37860221,579320,65,37860221,579320,65
United Arab Emirates,11027129,83600,132,11027129,83600,132
United Kingdom,69138192,241930,286,69138192,241930,286
United States of America,345426571,9147420,38,345426571,9147420,38
Uruguay,3386588,175020,19,3386588,175020,19
Uzbekistan,36361859,425400,85,36361859,425400,85
Vanuatu,327777,12190,27,327777,12190,27
Venezuela,28405543,882050,32,28405543,882050,32
Vietnam,100987686,310070,326,100987686,310070,326
Yemen,40583164,527970,77,40583164,527970,77
Zambia,21314956,743390,29,21314956,743390,29
Zimbabwe,16634373,386850,43,16634373,386850,43
