Label,X,Y,Z,info_1,info_2,info_3,info_4,info_5
Vietnam,71913,22280,71206,Vietnam1,719131,222801,712061,Vietnam11
Bangladesh,38470,45824,30579,Bangladesh1,384701,458241,305791,Bangladesh11
Malaysia,28169,96845,82219,Malaysia1,281691,968451,822191,Malaysia11
Iran,93263,32347,25413,Iran1,932631,323471,254131,Iran11
Colombia,15844,58509,24445,Colombia1,158441,585091,244451,Colombia11
Denmark,76432,27069,79725,Denmark1,764321,270691,797251,Denmark11
South Africa,63253,29297,72592,South Africa1,632531,292971,725921,South Africa11
Hong Kong,57656,64370,22671,Hong Kong1,576561,643701,226711,Hong Kong11
Romania,35507,84506,80479,Romania1,355071,845061,804791,Romania11
Egypt,50244,19339,67216,Egypt1,502441,193391,672161,Egypt11
Pakistan,35967,99486,85863,Pakistan1,359671,994861,858631,Pakistan11
Czech Republic,82564,83085,32511,Czech Republic1,825641,830851,325111,Czech Republic11
Chile,52066,53033,43434,Chile1,520661,530331,434341,Chile11
Finland,72697,23830,41930,Finland1,726971,238301,419301,Finland11
Portugal,86152,80737,91924,Portugal1,861521,807371,919241,Portugal11
Kazakhstan,71374,85119,23215,Kazakhstan1,713741,851191,232151,Kazakhstan11
Peru,72337,65127,67494,Peru1,723371,651271,674941,Peru11
Iraq,75727,44540,56780,Iraq1,757271,445401,567801,Iraq11
Algeria,10977,39709,84451,Algeria1,109771,397091,844511,Algeria11
Greece,44576,65979,62548,Greece1,445761,659791,625481,Greece11
New Zealand,14243,16693,88911,New Zealand1,142431,166931,889111,New Zealand11
Hungary,43644,12558,23253,Hungary1,436441,125581,232531,Hungary11
Qatar,33687,40012,92916,Qatar1,336871,400121,929161,Qatar11
Nigeria,59151,15438,10505,Nigeria1,591511,154381,105051,Nigeria11
Kuwait,93614,26058,27746,Kuwait1,936141,260581,277461,Kuwait11
Morocco,40986,79112,39062,Morocco1,409861,791121,390621,Morocco11
Ethiopia,10975,30040,61496,Ethiopia1,109751,300401,614961,Ethiopia11
Slovakia,71599,37624,98878,Slovakia1,715991,376241,988781,Slovakia11
Dominican Republic,82356,19988,68438,Dominican Republic1,823561,199881,684381,Dominican Republic11
Ecuador,15692,38438,95157,Ecuador1,156921,384381,951571,Ecuador11
Puerto Rico,93879,37876,86179,Puerto Rico1,938791,378761,861791,Puerto Rico11
Kenya,14886,33874,84532,Kenya1,148861,338741,845321,Kenya11
Angola,98755,46213,41148,Angola1,987551,462131,411481,Angola11
Uzbekistan,14065,40930,93760,Uzbekistan1,140651,409301,937601,Uzbekistan11
Guatemala,56037,22476,17446,Guatemala1,560371,224761,174461,Guatemala11
Oman,54833,82802,93263,Oman1,548331,828021,932631,Oman11
Bulgaria,10337,55038,27813,Bulgaria1,103371,550381,278131,Bulgaria11
Costa Rica,21271,92879,66119,Costa Rica1,212711,928791,661191,Costa Rica11
Luxembourg,56161,85664,16214,Luxembourg1,561611,856641,162141,Luxembourg11
Croatia,93329,19947,37595,Croatia1,933291,199471,375951,Croatia11
Panama,78584,31320,97733,Panama1,785841,313201,977331,Panama11
Ivory Coast,90021,31636,57199,Ivory Coast1,900211,316361,571991,Ivory Coast11
Sri Lanka,98648,13905,34872,Sri Lanka1,986481,139051,348721,Sri Lanka11
Turkmenistan,54173,18902,85042,Turkmenistan1,541731,189021,850421,Turkmenistan11
Lithuania,12593,90742,27657,Lithuania1,125931,907421,276571,Lithuania11
Uruguay,70534,44033,64707,Uruguay1,705341,440331,647071,Uruguay11
Serbia,47421,32329,63680,Serbia1,474211,323291,636801,Serbia11
Tanzania,42304,66839,22936,Tanzania1,423041,668391,229361,Tanzania11
Azerbaijan,75759,71111,80399,Azerbaijan1,757591,711111,803991,Azerbaijan11
Ghana,46844,31492,71489,Ghana1,468441,314921,714891,Ghana11
Slovenia,83279,65978,25124,Slovenia1,832791,659781,251241,Slovenia11
Belarus,28703,50036,42235,Belarus1,287031,500361,422351,Belarus11
DR Congo,25487,60244,54165,DR Congo1,254871,602441,541651,DR Congo11
Myanmar,48116,67440,33621,Myanmar1,481161,674401,336211,Myanmar11
Uganda,84298,84928,25309,Uganda1,842981,849281,253091,Uganda11
Macau,31382,39153,95406,Macau1,313821,391531,954061,Macau11
Cameroon,61039,96870,92089,Cameroon1,610391,968701,920891,Cameroon11
Jordan,98736,71326,41319,Jordan1,987361,713261,413191,Jordan11
Tunisia,52172,90546,91967,Tunisia1,521721,905461,919671,Tunisia11
Bolivia,57483,29766,92917,Bolivia1,574831,297661,929171,Bolivia11
Bahrain,28686,29958,27669,Bahrain1,286861,299581,276691,Bahrain11
Cambodia,17649,28859,46160,Cambodia1,176491,288591,461601,Cambodia11
Latvia,74767,99928,23259,Latvia1,747671,999281,232591,Latvia11
Paraguay,12788,30994,68733,Paraguay1,127881,309941,687331,Paraguay11
Libya,26553,44882,77266,Libya1,265531,448821,772661,Libya11
Nepal,45663,19900,56077,Nepal1,456631,199001,560771,Nepal11
Estonia,96600,94323,40191,Estonia1,966001,943231,401911,Estonia11
Honduras,42671,53931,37660,Honduras1,426711,539311,376601,Honduras11
Zimbabwe,83746,11924,85140,Zimbabwe1,837461,119241,851401,Zimbabwe11
El Salvador,89229,73876,49048,El Salvador1,892291,738761,490481,El Salvador11
